  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	      Pa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 09:11:01	  -1.200	   88.16	 1007.65	   20.84	  720.10	   1.194	  149.28	  124.24	   99.09	   23.45	  -11.05	  -27.82	  -34.89	  -49.61	  -53.04	  -56.82	  -44.76	  -51.53	  -51.16	  -48.80	  -43.51	  -38.10	  -34.39	  -27.58	  -22.54	  -21.25	  -19.42	  -14.52	   11.76	   20.29	   15.88	  146.91	  -64.78	  -83.11	  -71.34	  -60.76	  -52.02	  -44.76	  -39.49	  -35.92	  -33.03	  -30.16	  -27.62	  -25.49	  -22.70	  -20.36	  -17.71	  -14.73	  -11.53	   -8.17	   -5.34	   -2.52	   -0.20	    1.97	   15.88	  186.30	  185.17	  187.75	  188.51	  186.33	  186.45	  188.06	  186.07	  186.85	  187.42	  186.76	  186.27	  187.22	  187.24	  186.64	  187.89	  186.76	  187.96	  186.22	  183.21	  176.35	  167.05	  160.56	  164.82	  166.50	  176.34	  181.76	  183.16	  185.11	  187.20	  186.21	  186.42	  186.97	  185.23	  186.66	  185.73	  186.57	  186.48	  186.70	  186.62	  187.22	  186.29	  186.38	  186.84	  186.14	  186.76	  187.43	  185.99	    9.82	   10.22	   10.76	   10.51	    9.93	   10.81	    8.78	   10.61	   11.03	   10.50	   10.35	    9.55	    0.28	    0.14	    0.18	    0.22
       2	 09:12:09	  -0.000	   88.02	 1007.68	   20.92	  719.31	   1.194	  181.39	   99.80	   61.70	   -6.26	  -37.56	  -51.53	  -53.75	  -64.88	  -70.12	  -69.63	  -55.90	  -61.74	  -59.36	  -57.01	  -52.26	  -44.33	  -41.44	  -35.27	  -32.60	  -30.29	  -29.64	   -5.04	   10.41	   17.21	   21.47	  177.34	   31.04	  -22.21	  -33.96	  -33.35	  -31.15	  -26.52	  -25.18	  -23.04	  -21.67	  -19.89	  -18.24	  -16.95	  -14.84	  -12.94	  -10.86	   -8.21	   -5.17	   -1.64	    1.20	    4.36	    6.70	    8.68	   21.47	  185.38	  184.23	  186.88	  187.58	  185.52	  185.56	  187.14	  184.97	  185.90	  186.44	  185.75	  185.24	  186.41	  186.32	  185.76	  186.80	  185.47	  185.81	  181.66	  175.73	  167.32	  160.36	  158.81	  167.09	  170.02	  178.79	  182.83	  183.38	  184.39	  186.32	  185.20	  185.24	  185.94	  185.91	  185.99	  184.73	  185.64	  185.55	  185.74	  185.70	  186.37	  185.47	  185.51	  185.88	  185.08	  186.00	  186.61	  185.07	    9.28	   10.40	   10.93	   10.62	    9.86	   10.70	    8.61	   10.43	   10.66	   10.04	    9.90	    9.87	   -0.00	    0.17	    0.18	    0.23
       3	 09:14:40	   1.200	   88.53	 1007.70	   21.13	  719.71	   1.193	  186.82	   56.86	   12.42	  -46.78	  -70.77	  -75.95	  -75.13	  -84.05	  -85.72	  -83.37	  -69.06	  -73.89	  -68.54	  -66.22	  -59.01	  -53.27	  -49.72	  -45.06	  -43.42	  -42.67	  -35.61	    0.51	    8.59	   13.61	   18.94	  183.75	  105.69	   31.93	    3.43	   -7.61	  -10.57	  -10.52	  -10.84	  -10.51	  -10.44	   -9.75	   -9.01	   -8.65	   -7.29	   -6.03	   -4.62	   -2.50	    0.06	    3.15	    6.14	    9.86	   12.65	   15.16	   18.94	  186.29	  185.25	  187.94	  188.59	  186.50	  186.46	  188.00	  185.99	  186.99	  187.50	  186.91	  186.18	  187.40	  187.36	  186.80	  187.89	  187.27	  185.62	  175.22	  161.61	  157.45	  161.57	  168.20	  179.16	  182.18	  187.00	  186.98	  184.99	  185.46	  188.10	  186.23	  186.51	  186.99	  186.26	  186.95	  185.83	  186.68	  186.63	  187.00	  186.87	  187.45	  186.52	  186.65	  186.93	  186.87	  187.04	  187.63	  186.14	    8.89	   10.85	   11.28	   10.79	   10.25	   10.91	   10.62	   10.28	   10.41	    9.71	    9.55	   10.40	   -0.14	    0.13	    0.15	    0.22
       4	 09:15:02	   2.400	   89.46	 1007.70	   21.15	  720.00	   1.193	  173.54	   17.77	  -29.29	  -83.49	  -99.85	  -99.61	  -93.94	  -99.71	  -99.71	  -94.60	  -79.18	  -83.77	  -78.97	  -73.45	  -65.66	  -59.42	  -57.82	  -55.06	  -51.77	  -50.45	   -6.90	    1.69	    7.60	   13.75	   23.66	  169.13	  152.13	   72.51	   33.32	   13.70	    6.89	    4.51	    1.40	    0.34	   -0.95	   -1.28	   -1.54	   -1.99	   -1.47	   -0.99	   -0.14	    1.16	    3.06	    5.49	    8.06	   11.62	   14.80	   18.06	   23.66	  188.69	  187.86	  190.42	  191.19	  188.99	  188.81	  190.50	  188.77	  189.50	  190.25	  189.47	  189.04	  189.92	  189.81	  189.16	  190.33	  187.23	  178.56	  164.08	  158.51	  165.32	  174.42	  181.25	  188.40	  187.37	  189.97	  189.67	  187.48	  188.14	  190.58	  188.81	  189.14	  189.42	  189.29	  189.12	  188.29	  188.76	  188.85	  189.00	  188.89	  189.49	  188.75	  188.78	  189.18	  189.33	  189.19	  189.83	  188.36	    8.73	   11.25	   11.68	   11.11	   10.31	   11.08	   11.10	   10.44	   10.38	    9.59	    9.43	   10.89	    0.16	    0.19	    0.18	    0.21
       5	 09:16:01	   3.600	   89.55	 1007.72	   21.23	  720.54	   1.193	  114.02	  -46.07	  -86.61	 -125.41	 -129.22	 -122.38	 -112.52	 -117.06	 -112.96	 -106.68	  -89.88	  -91.58	  -85.80	  -79.59	  -72.90	  -69.12	  -65.88	  -64.32	  -61.80	  -15.19	   -7.75	   -0.72	    6.37	   13.44	   24.90	  112.13	  178.08	  109.29	   61.11	   35.68	   24.14	   18.17	   14.46	   12.08	    9.41	    7.98	    6.89	    5.66	    5.49	    5.48	    5.61	    6.24	    7.45	    9.26	   11.32	   14.37	   17.30	   20.68	   24.90	  188.63	  187.87	  190.49	  191.22	  189.01	  188.74	  190.60	  188.58	  189.51	  190.22	  189.49	  188.99	  189.93	  189.73	  189.01	  190.40	  189.81	  190.67	  189.65	  189.48	  188.11	  184.26	  169.74	  160.78	  156.38	  168.53	  178.45	  183.73	  187.26	  190.45	  188.72	  189.14	  189.12	  188.34	  188.86	  187.93	  188.63	  188.61	  189.03	  188.86	  189.32	  188.55	  188.55	  189.14	  189.10	  188.98	  189.54	  188.34	    9.20	   12.06	   12.47	   11.87	   11.29	   11.50	   11.81	   11.25	   10.92	   10.15	    9.95	   11.77	    0.56	    0.20	    0.22	    0.25
       6	 09:16:18	   4.800	   89.69	 1007.75	   21.24	  720.04	   1.193	    8.49	 -118.18	 -151.38	 -171.77	 -165.04	 -151.47	 -136.16	 -136.88	 -129.00	 -121.64	 -101.33	 -103.58	  -97.02	  -89.88	  -84.13	  -82.32	  -79.69	  -77.79	  -26.86	  -20.01	  -14.73	   -5.17	    2.89	   11.00	   23.55	    7.82	  182.46	  138.27	   86.73	   53.99	   39.53	   31.20	   25.58	   21.98	   18.06	   15.60	   13.66	   11.83	   10.85	   10.16	    9.72	    9.73	   10.39	   11.65	   13.13	   15.78	   18.37	   21.54	   23.55	  187.97	  187.09	  189.71	  190.37	  188.27	  188.11	  189.84	  187.83	  188.68	  189.49	  188.75	  188.23	  189.36	  189.09	  188.46	  189.46	  189.18	  190.01	  188.93	  187.92	  180.24	  165.71	  155.21	  160.89	  166.71	  180.67	  186.19	  186.42	  187.38	  189.94	  187.96	  188.40	  188.92	  188.09	  188.55	  187.69	  188.33	  188.34	  188.73	  188.46	  188.90	  188.29	  188.35	  188.81	  188.84	  188.64	  189.40	  187.92	    8.21	   11.70	   12.06	   11.38	   10.69	   10.99	   10.88	   10.32	   10.11	    9.22	    8.99	   11.51	   -0.48	    0.17	    0.17	    0.22
       7	 09:16:48	   6.000	   89.18	 1007.75	   21.29	  719.88	   1.192	 -137.36	 -198.18	 -220.81	 -217.44	 -196.07	 -174.93	 -155.58	 -151.76	 -142.09	 -133.74	 -112.03	 -113.07	 -106.73	 -102.44	  -96.08	  -93.60	  -73.32	  -42.01	  -34.24	  -26.77	  -17.72	   -6.86	    1.71	   10.54	   23.52	 -137.21	  175.89	  159.63	  108.50	   71.64	   56.01	   45.95	   38.38	   33.47	   28.63	   25.37	   22.59	   20.17	   18.48	   17.08	   16.13	   15.57	   15.65	   16.44	   17.41	   19.52	   21.69	   24.48	   23.52	  187.83	  187.01	  189.71	  190.27	  188.14	  187.77	  189.74	  187.77	  188.61	  189.30	  188.60	  188.20	  189.66	  188.96	  188.24	  189.55	  189.10	  189.84	  187.35	  176.98	  161.12	  154.48	  159.08	  173.50	  180.31	  188.01	  188.46	  186.72	  187.28	  189.77	  187.84	  188.14	  188.60	  188.10	  188.28	  187.66	  188.22	  188.19	  188.90	  188.37	  188.80	  188.05	  188.16	  188.63	  188.66	  188.51	  189.17	  187.70	    8.38	   12.45	   12.77	   11.99	   11.16	   11.53	   11.43	   10.72	   10.37	    9.45	    9.20	   12.37	    0.20	    0.18	    0.17	    0.22
       8	 09:17:21	   7.000	   88.38	 1007.76	   21.31	  719.82	   1.192	 -290.21	 -272.72	 -283.18	 -259.47	 -225.02	 -195.86	 -172.53	 -166.86	 -155.87	 -147.30	 -124.48	 -125.06	 -118.20	 -110.46	  -91.16	  -72.93	  -62.55	  -52.53	  -42.40	  -31.39	  -22.00	   -9.40	   -0.15	    8.79	   21.61	 -289.31	  156.17	  170.03	  123.60	   84.11	   66.41	   55.12	   46.72	   41.17	   35.39	   31.56	   28.16	   25.10	   22.89	   21.04	   19.58	   18.49	   18.16	   18.54	   19.06	   20.72	   22.48	   24.95	   21.61	  186.16	  185.04	  187.67	  188.55	  186.22	  186.15	  187.93	  185.86	  186.68	  187.39	  186.66	  186.13	  187.87	  187.19	  186.51	  187.70	  187.15	  188.03	  186.81	  186.46	  184.31	  174.90	  155.58	  148.04	  152.16	  172.74	  183.66	  184.58	  185.31	  188.03	  186.04	  186.18	  186.57	  186.06	  186.40	  185.53	  186.26	  186.30	  187.15	  186.53	  186.85	  186.15	  186.33	  186.73	  186.63	  186.66	  187.34	  185.87	    7.70	   12.06	   12.39	   11.57	   10.74	   10.62	   10.88	   10.17	    9.80	    8.83	    8.59	   12.03	   -0.49	    0.17	    0.17	    0.22
       9	 09:17:49	   8.000	   87.54	 1007.78	   21.35	  719.82	   1.192	 -455.98	 -348.60	 -344.72	 -297.61	 -250.11	 -216.36	 -190.58	 -182.30	 -171.62	 -157.55	 -129.19	 -122.05	 -109.57	 -100.78	  -89.98	  -79.85	  -67.86	  -56.47	  -44.31	  -32.96	  -22.88	   -9.79	   -0.67	    7.54	   19.73	 -457.38	  128.37	  176.18	  136.24	   96.38	   76.24	   64.32	   55.55	   49.21	   42.87	   38.21	   34.42	   30.65	   28.07	   25.80	   23.85	   22.42	   21.67	   21.47	   21.58	   22.82	   24.05	   26.05	   19.73	  185.40	  184.26	  187.00	  187.74	  185.52	  185.64	  187.23	  185.18	  186.11	  186.57	  185.93	  185.29	  187.03	  186.47	  185.74	  186.83	  186.46	  187.37	  186.01	  183.64	  172.13	  153.92	  141.44	  150.65	  163.43	  182.06	  185.64	  184.15	  184.51	  187.22	  185.26	  185.51	  185.89	  186.15	  185.98	  185.10	  185.82	  185.65	  186.62	  185.87	  186.27	  185.57	  185.76	  186.13	  185.96	  186.07	  186.77	  185.25	    7.89	   12.64	   12.98	   12.10	   11.23	   11.28	   11.27	   10.69	   10.07	    9.01	    8.79	   12.73	   -0.15	    0.18	    0.16	    0.24
